-----------------------------
汉字      全拼      笔画数   
什        shen      4        
仁        ren       4        
仂        le        4        
仃        ding      4        
仄        ze        4        
仅        jin       4        
仆        pu        4        
仇        chou      4        
仈        ba        4        
仉        zhang     4        
今        jin       4        
介        jie       4        
仌        bing      4        
仍        reng      4        
从        cong      4        
仏        fo        4        
仐        tao       4        
仑        lun       4        
仒        eo        4        
仓        cang      4        
仔        zai       5        
仕        shi       5        
他        ta        5        
仗        zhang     5        
付        fu        5        
仙        xian      5        
仚        xian      5        
仛        zhe       5        
仜        hong      5        
仝        tong      5        
仞        ren       5        
仟        qian      5        
仠        han       5        
仡        yi        5        
仢        bo        5        
代        dai       5        
令        ling      5        
以        yi        4        
仦        chao      5        
仧        zhang     5        
仨        sa        5        
仩        shang     5        
仪        yi        5        
仫        mu        5        
们        men       5        
仭        ren       5        
仮        fan       6        
仯        miao      6        
仰        yang      6        
仱        qian      6        
仲        zhong     6        
仳        pi        6        
仴        wo        6        
仵        wu        6        
件        jian      6        
价        jia       6        
仸        yao       6        
仹        feng      6        
仺        chuang    5        
任        ren       6        
仼        wang      6        
份        fen       6        
仾        di        6        
仿        fang      6        
伀        zhong     6        
企        qi        6        
伂        pei       6        
伃        yu        6        
伄        diao      6        
伅        dun       6        
伆        wu        6        
伇        yi        6        
伈        xin       6        
伉        kang      6        
伊        yi        6        
伋        ji        5        
伌        ai        6        
伍        wu        6        
伎        ji        6        
伏        fu        6        
伐        fa        6        
休        xiu       6        
伒        yin       6        
伓        pi        6        
伔        shen      6        
伕        fu        6        
伖        tang      6        
众        zhong     6        
优        you       6        
伙        huo       6        
会        hui       6        
伛        yu        6        
伜        zu        6        
伝        yun       6        
伞        san       6        
伟        wei       6        
传        chuan     6        
伡        ju        6        
伢        ya        6        
伣        xian      6        
伤        shang     6        
伥        chang     6        
伦        lun       6        
伧        cang      6        
伨        xun       6        
伩        xin       6        
伪        wei       6        
伫        zhu       6        
伬        ze        6        
伭        xian      7        
伮        nu        7        
伯        bo        7        
估        gu        7        
伱        ni        7        
伲        ni        7        
伳        xie       7        
伴        ban       7        
伵        xu        7        
伶        ling      7        
伷        zhou      7        
伸        shen      7        
伹        zu        7        
伺        si        7        
伻        beng      7        
似        shi       6        
伽        ga        7        
伾        pi        7        
伿        yi        7        
佀        si        7        
佁        yi        7        
佂        zheng     7        
佃        dian      7        
佄        han       7        
佅        mai       7        
但        dan       7        
佇        zhu       7        
佈        bu        7        
佉        qu        7        
佊        bi        7        
佋        zhao      7        
佌        ci        8        
位        wei       7        
低        di        7        
住        zhu       7        
佐        zuo       7        
佑        you       7        
佒        yang      7        
体        ti        7        
佔        zhan      7        
何        he        7        
佖        bi        7        
佗        tuo       7        
佘        she       7        
余        yu        7        
佚        yi        7        
佛        fo        7        
作        zuo       7        
佝        gou       7        
佞        ning      7        
佟        tong      7        
你        ni        7        
佡        xian      7        
佢        qu        6        
佣        yong      7        
佤        wa        6        
佥        qian      7        
佦        shi       7        
佧        ka        7        
佨        bao       7        
佩        pei       8        
佪        hui       8        
佫        he        8        
佬        lao       8        
佭        xiang     8        
佮        ge        8        
佯        yang      8        
佰        bai       8        
佱        fa        8        
佲        ming      8        
佳        jia       8        
佴        er        8        
併        bing      8        
佶        ji        8        
佷        heng      8        
佸        huo       8        
佹        gui       8        
佺        quan      8        
佻        tiao      8        
佼        jiao      8        
佽        ci        8        
佾        yi        8        
使        shi       8        
侀        xing      8        
侁        shen      8        
侂        tuo       8        
侃        kan       8        
侄        zhi       8        
侅        hai       8        
來        lai       8        
侇        yi        8        
侈        chi       8        
侉        kua       8        
侊        guang     8        
例        li        8        
侌        yin       8        
侍        shi       8        
侎        mi        8        
侏        zhu       8        
侐        xu        8        
侑        you       8        
侒        an        8        
侓        lu        8        
侔        mou       8        
侕        er        8        
侖        lun       8        
侗        dong      8        
侘        cha       8        
侙        chi       8        
侚        xun       8        
供        gong      8        
侜        zhou      8        
依        yi        8        
侞        ru        8        
侟        jian      8        
侠        xia       8        
価        si        8        
侢        dai       8        
侣        lv        8        
侤        ta        8        
侥        yao       8        
侦        zhen      8        
侧        ce        8        
侨        qiao      8        
侩        kuai      8        
侪        chai      8        
侫        ning      8        
侬        nong      8        
侭        jin       8        
侮        wu        9        
侯        hou       9        
侰        jiong     9        
侱        ting      9        
侲        zhen      9        
侳        zuo       9        
侴        chou      9        
侵        qin       9        
侶        lv        9        
侷        ju        9        
侸        shu       9        
侹        ting      8        
侺        shen      9        
侻        tuo       9        
侼        bo        9        
侽        nan       9        
侾        xiao      9        
便        bian      9        
俀        tui       9        
俁        yu        9        
係        xi        9        
促        cu        9        
俄        e         9        
俅        qiu       9        
俆        xu        9        
俇        guang     9        
俈        ku        9        
俉        wu        9        
俊        jun       9        
俋        yi        9        
俌        fu        9        
俍        liang     9        
俎        zu        9        
俏        qiao      9        
俐        li        9        
俑        yong      9        
俒        hun       9        
俓        ying      9        
俔        xian      9        
俕        san       9        
俖        pei       9        
俗        su        9        
俘        fu        9        
俙        xi        9        
俚        li        9        
俛        mian      9        
俜        ping      9        
保        bao       9        
俞        yu        9        
俟        si        9        
俠        xia       9        
信        xin       9        
俢        xiu       8        
俣        yu        9        
俤        di        9        
俥        ju        9        
俦        chou      9        
俧        zhi       9        
俨        yan       9        
俩        liang     9        
俪        li        9        
俫        lai       9        
俬        si        9        
俭        jian      9        
修        xiu       9        
俯        fu        10       
俰        huo       10       
俱        ju        10       
俲        xiao      10       
俳        pai       10       
俴        jian      10       
俵        biao      10       
俶        ti        10       
俷        fei       10       
俸        feng      10       
俹        ya        10       
俺        an        10       
俻        bei       10       
俼        yu        10       
俽        xin       10       
俾        bi        10       
俿        hu        10       
倀        zheng     10       
倁        zhi       10       
倂        bing      10       
倃        jiu       10       
倄        yao       10       
倅        zu        10       
倆        liang     10       
倇        wan       10       
倈        lie       10       
倉        chuang    10       
倊        zong      10       
個        ge        10       
倌        guan      10       
倍        bei       10       
倎        tian      10       
倏        shu       10       
倐        shu       10       
們        men       10       
倒        dao       10       
倓        tan       10       
倔        jue       10       
倕        zhui      10       
倖        xing      10       
倗        ping      10       
倘        tang      10       
候        hou       10       
倚        yi        10       
倛        qi        10       
倜        ti        10       
倝        gan       10       
倞        liang     10       
借        jie       10       
倠        sui       10       
倡        chang     10       
倢        qie       10       
倣        fang      10       
値        zhi       10       
倥        kong      10       
倦        juan      10       
倧        zong      10       
倨        ju        10       
倩        qian      10       
倪        ni        10       
倫        lun       10       
倬        zhuo      10       
倭        wo        10       
倮        luo       10       
倯        song      10       
倰        ling      10       
倱        hun       10       
倲        dong      10       
倳        zi        10       
倴        ben       10       
倵        wu        10       
倶        ju        10       
倷        nai       10       
倸        cai       10       
倹        jian      10       
债        zhai      10       
倻        ye        10       
值        zhi       10       
倽        sha       10       
倾        qing      10       
倿        qie       10       
偀        ying      10       
偁        cheng     11       
偂        qian      11       
偃        yan       11       
偄        ruan      11       
偅        zhong     11       
偆        chun      11       
假        jia       11       
偈        ji        11       
偉        wei       11       
偊        yu        11       
偋        bing      11       
偌        ruo       10       
偍        ti        11       
偎        wei       11       
偏        pian      11       
偐        yan       11       
偑        feng      11       
偒        tang      11       
偓        wo        11       
偔        e         11       
偕        xie       11       
偖        che       10       
偗        sheng     11       
偘        kan       11       
偙        di        11       
做        zuo       11       
偛        cha       11       
停        ting      11       
偝        bei       11       
偞        zha       11       
偟        huang     11       
偠        yao       11       
偡        zhan      11       
偢        zou       11       
偣        yan       11       
偤        you       11       
健        jian      10       
偦        xu        11       
偧        zha       11       
偨        ci        12       
偩        fu        11       
偪        fu        11       
偫        zhi       11       
偬        zong      11       
偭        mian      11       
偮        ji        11       
偯        yi        11       
偰        xie       11       
偱        xun       11       
偲        si        11       
偳        duan      11       
側        zhai      11       
偵        zhen      11       
偶        ou        11       
偷        tou       11       
偸        tou       11       
偹        bei       11       
偺        zan       11       
偻        lv        11       
偼        qie       11       
偽        wei       11       
偾        fen       11       
偿        chang     11       
傀        kui       11       
傁        sou       11       
傂        zhi       12       
傃        su        12       
傄        xia       12       
傅        fu        12       
傆        yuan      12       
傇        rong      11       
傈        li        12       
傉        nu        12       
傊        yun       12       
傋        jiang     12       
傌        ma        12       
傍        bang      12       
傎        dian      12       
傏        tang      12       
傐        hao       12       
傑        jie       12       
傒        xi        12       
傓        shan      12       
傔        qian      12       
傕        que       12       
傖        chen      12       
傗        chu       12       
傘        san       12       
備        bei       12       
傚        xiao      12       
傛        yong      12       
傜        yao       12       
傝        tan       12       
傞        suo       11       
傟        yang      12       
傠        fa        12       
傡        bing      12       
傢        xiang     12       
傣        dai       12       
傤        zai       12       
傥        tang      12       
傦        gu        11       
傧        bin       12       
储        chu       12       
傩        nuo       12       
傪        san       13       
傫        lei       13       
催        cui       13       
傭        yong      13       
傮        zao       13       
傯        zong      13       
傰        peng      13       
傱        song      13       
傲        ao        12       
傳        zhuan     13       
傴        yu        13       
債        zhai      13       
傶        zu        13       
傷        shang     13       
傸        chuang    13       
傹        jing      13       
傺        chi       13       
傻        sha       13       
傼        han       13       
傽        zhang     13       
傾        qing      13       
傿        yin       13       
僀        di        13       
僁        xie       13       
僂        lou       13       
僃        bei       12       
僄        piao      13       
僅        jin       13       
僆        lian      12       
僇        lu        13       
僈        man       13       
僉        qian      13       
僊        xian      14       
僋        tan       13       
僌        ying      13       
働        dong      13       
僎        zun       14       
像        xiang     13       
僐        shan      14       
僑        qiao      14       
僒        jiong     14       
僓        tui       14       
僔        zun       14       
僕        pu        14       
僖        xi        14       
僗        lao       14       
僘        chang     14       
僙        guang     13       
僚        liao      14       
僛        qi        14       
僜        teng      14       
僝        zhuan     14       
僞        wei       14       
僟        ji        14       
僠        bo        14       
僡        hui       14       
僢        chun      14       
僣        tie       14       
僤        shan      14       
僥        yao       14       
僦        jiu       14       
僧        seng      14       
僨        fen       14       
僩        xian      14       
僪        yu        14       
僫        e         14       
僬        jiao      14       
僭        jian      14       
僮        tong      14       
僯        lin       14       
僰        bo        14       
僱        gu        14       
僲        xian      14       
僳        su        14       
僴        xian      14       
僵        jiang     15       
僶        min       14       
僷        ye        14       
僸        jin       15       
價        qia       15       
僺        qiao      15       
僻        pi        15       
僼        feng      15       
僽        zhou      15       
僾        ai        15       
僿        sai       15       
儀        yi        15       
儁        jun       14       
儂        nong      15       
儃        tan       15       
億        yi        15       
儅        dang      15       
儆        jing      14       
儇        xuan      15       
儈        kuai      15       
儉        jian      15       
儊        chu       15       
儋        dan       15       
儌        jiao      15       
儍        sha       15       
儎        zai       15       
儏        can       15       
儐        bin       16       
儑        an        16       
儒        ru        16       
儓        tai       16       
儔        dao       16       
儕        chai      16       
儖        lan       16       
儗        yi        16       
儘        jin       16       
儙        qian      15       
儚        meng      15       
儛        wu        16       
儜        ning      16       
儝        qiong     16       
儞        ni        16       
償        chang     17       
儠        lie       17       
儡        lei       17       
儢        lv        17       
儣        kuang     16       
儤        bao       17       
儥        yu        17       
儦        biao      17       
儧        zan       17       
儨        zhi       17       
儩        si        17       
優        you       17       
儫        hao       16       
儬        qing      17       
儭        qin       18       
儮        li        18       
儯        teng      18       
儰        wei       17       
儱        long      19       
儲        chu       17       
儳        chan      19       
儴        xiang     19       
儵        tiao      18       
儶        xie       20       
儷        li        21       
儸        luo       21       
儹        zan       21       
儺        nuo       21       
儻        tang      22       
儼        yan       21       
儽        luo       23       
儾        nang      24       
儿        er        2        
兀        wu        3        
允        yun       4        
兂        zan       4        
元        yuan      4        
兄        xiong     5        
充        chong     6        
兆        zhao      6        
兇        xiong     6        
先        xian      6        
光        guang     6        
兊        rui       6        
克        ke        7        
兌        rui       7        
免        mian      7        
兎        tu        7        
兏        chang     7        
児        ni        7        
兑        dui       7        
兒        ni        8        
兓        jin       8        
兔        tu        8        
兕        si        7        
兖        yan       8        
兗        yan       9        
兘        shi       9        
兙        shike     9        
党        dang      10       
兛        qianke    10       
兜        dou       11       
兝        gongfen   11       
兞        haoke     11       
兟        shen      12       
兠        dou       12       
兡        baike     13       
兢        jing      14       
兣        gongli    16       
兤        huang     17       
入        ru        2        
兦        wu        3        
內        rui       4        
全        quan      6        
兩        liang     8        
兪        yu        9        
八        ba        2        
公        gong      4        
六        liu       4        
兮        xi        4        
兯        han       4        
兰        lan       5        
共        gong      6        
兲        tian      6        
关        guan      6        
兴        xing      6        
兵        bing      7        
其        qi        8        
具        ju        8        
典        dian      8        
兹        zi        9        
兺        ppun      9        
养        yang      9        
兼        jian      10       
兽        shou      11       
兾        ji        13       
兿        yi        13       
冀        ji        16       
冁        chan      18       
冂        tong      2        
冃        mao       4        
冄        ran       4        
内        nei       4        
円        yan       4        
冇        mao       4        
冈        gang      4        
冉        ran       5        
冊        zha       5        
冋        jiong     5        
册        ce        5        
再        zai       6        
冎        gua       5        
冏        jiong     7        
冐        mao       8        
冑        zhou      9        
冒        mao       9        
冓        gou       10       
冔        xu        10       
冕        mian      11       
冖        ping      2        
冗        rong      4        
冘        you       4        
写        xie       5        
冚        kan       5        
军        jun       6        
农        nong      6        
冝        yi        7        
冞        mi        8        
冟        shi       9        
冠        guan      9        
冡        meng      10       
冢        zhong     10       
冣        ju        10       
冤        yuan      10       
冥        ming      10       
冦        kou       10       
冧        min       10       
冨        fu        11       
冩        xie       14       
冪        mi        15       
冫        liang     2        
冬        dong      5        
冭        tai       5        
冮        gang      5        
冯        feng      5        
冰        bing      6        
冱        hu        6        
冲        chong     6        
决        jue       6        
冴        hu        6        
况        kuang     7        
冶        ye        7        
冷        leng      7        
冸        pan       7        
冹        fu        7        
冺        min       7        
冻        dong      7        
冼        xian      8        
冽        lie       8        
冾        qia       8        
冿        jian      8        
净        jing      8        
凁        sou       9        
凂        mei       9        
凃        tu        9        
凄        qi        10       
凅        gu        10       
准        zhun      10       
凇        song      10       
凈        jing      10       
凉        liang     10       
凊        qing      10       
凋        diao      10       
凌        ling      10       
凍        dong      10       
凎        gan       10       
减        jian      11       
凐        yin       11       
凑        cou       11       
凒        ai        12       
凓        li        12       
凔        cang      12       
凕        ming      12       
凖        zhun      12       
凗        cui       13       
凘        si        14       
凙        duo       15       
凚        jin       15       
凛        lin       15       
凜        lin       15       
凝        ning      16       
凞        xi        16       
凟        du        17       
几        ji        2        
凡        fan       3        
凢        fan       3        
凣        fan       3        
凤        feng      4        
凥        ju        5        
処        chu       5        
凧        zheng     5        
凨        feng      6        
凩        mu        6        
凪        zhi       6        
凫        fu        6        
凬        feng      7        
凭        ping      8        
凮        feng      8        
凯        kai       8        
凰        huang     11       
凱        kai       12       
凲        gan       12       
凳        deng      14       
凴        ping      14       
凵        shan      2        
凶        xiong     4        
凷        kuai      5        
凸        tu        5        
凹        ao        5        
出        chu       5        
击        ji        5        
凼        dang      6        
函        han       8        
凾        han       9        
凿        zao       12       
刀        dao       2        
刁        diao      2        
刂        ce        2        
刃        ren       3        
刄        ren       3        
刅        chuang    4        
分        fen       4        
切        qie       4        
刈        yi        4        
刉        ji        5        
刊        kan       5        
刋        qian      5        
刌        cun       5        
刍        chu       5        
刎        wen       6        
刏        ji        6        
刐        dan       6        
刑        xing      6        
划        hua       6        
刓        wan       6        
刔        jue       6        
刕        li        6        
刖        yue       6        
列        lie       6        
刘        liu       6        
则        ze        6        
刚        gang      6        
创        chuang    6        
刜        fu        7        
初        chu       7        
刞        qu        7        
刟        diao      7        
删        shan      7        
刡        min       7        
刢        ling      7        
刣        zhong     7        
判        pan       7        
別        bie       7        
刦        jie       7        
刧        jie       7        
刨        pao       7        
利        li        7        
刪        shan      7        
别        bie       7        
刬        chan      7        
刭        jing      7        
刮        gua       8        
刯        geng      8        
到        dao       8        
刱        chuang    8        
刲        kui       8        
刳        ku        8        
刴        duo       8        
刵        er        8        
制        zhi       8        
刷        shua      8        
券        quan      8        
刹        cha       8        
刺        ci        8        
刻        ke        8        
刼        jie       8        
刽        gui       8        
刾        ci        8        
刿        gui       8        
剀        kai       8        
剁        duo       8        
剂        ji        8        
剃        ti        9        
剄        jing      9        
剅        dou       9        
剆        luo       8        
則        ze        9        
剈        yuan      9        
剉        cuo       9        
削        xue       9        
剋        kei       9        
剌        la        9        
前        qian      9        
剎        sha       9        
剏        chuang    9        
剐        gua       9        
剑        jian      9        
剒        cuo       10       
剓        li        10       
剔        ti        10       
剕        fei       10       
剖        pou       10       
剗        chan      10       
剘        qi        10       
剙        chuang    10       
剚        zi        10       
剛        gang      10       
剜        wan       10       
剝        pu        10       
剞        ji        10       
剟        duo       10       
剠        qing      10       
剡        yan       10       
剢        zhuo      10       
剣        jian      10       
剤        ji        10       
剥        bao       10       
剦        yan       10       
剧        ju        10       
剨        huo       11       
剩        sheng     12       
剪        jian      11       
剫        duo       11       
剬        zhi       11       
剭        wu        11       
剮        gua       10       
副        fu        11       
剰        sheng     11       
剱        jian      11       
割        ge        12       
剳        zha       11       
剴        kai       12       
創        qiang     12       
剶        chuan     11       
剷        chan      13       
剸        zhuan     13       
剹        lu        13       
剺        li        13       
剻        peng      13       
剼        shan      13       
剽        piao      13       
剾        kou       13       
剿        jiao      13       
劀        gua       14       
劁        qiao      14       
劂        jue       14       
劃        hua       14       
劄        zha       14       
劅        zhuo      15       
劆        lian      15       
劇        ju        15       
劈        pi        15       
劉        liu       15       
劊        gui       15       
劋        jiao      15       
劌        gui       15       
劍        jian      15       
劎        jian      15       
劏        tong      15       
劐        huo       15       
劑        ji        16       
劒        jian      16       
劓        yi        16       
劔        jian      16       
劕        zhi       17       
劖        chan      19       
劗        zuan      21       
劘        mo        21       
劙        li        23       
劚        zhu       23       
力        li        2        
劜        ya        3        
劝        quan      4        
办        ban       4        
功        gong      5        
加        jia       5        
务        wu        5        
劢        mai       5        
劣        lie       6        
劤        jing      6        
劥        keng      6        
劦        xie       6        
劧        zhi       6        
动        dong      6        
助        zhu       7        
努        nu        7        
劫        jie       7        
劬        qu        7        
劭        shao      7        
劮        yi        7        
劯        zhu       7        
劰        mo        7        
励        li        7        
劲        jin       7        
劳        lao       7        
労        lao       7        
劵        juan      8        
劶        kou       8        
劷        yang      8        
劸        wa        8        
効        xiao      8        
劺        mou       8        
劻        kuang     8        
劼        jie       8        
劽        lie       8        
劾        he        8        
势        shi       8        
勀        kei       9        
勁        jing      9        
勂        gao       9        
勃        bo        9        
勄        min       9        
勅        chi       9        
勆        lang      8        
勇        yong      9        
勈        yong      9        
勉        mian      9        
勊        kei       9        
勋        xun       9        
勌        juan      10       
勍        qing      10       
勎        lu        10       
勏        bu        10       
勐        meng      10       
勑        lai       10       
勒        le        11       
勓        kai       11       
勔        mian      11       
動        dong      11       
勖        xu        11       
勗        xu        11       
勘        kan       11       
務        wu        10       
勚        yi        11       
勛        xun       12       
勜        yang      12       
勝        sheng     12       
勞        liao      12       
募        mu        12       
勠        lu        13       
勡        piao      13       
勢        shi       13       
勣        ji        13       
勤        qin       13       
勥        qiang     14       
勦        jiao      13       
勧        quan      13       
勨        xiang     13       
勩        yi        14       
勪        xue       14       
勫        fan       14       
勬        juan      14       
勭        tong      14       
勮        ju        15       
勯        dan       15       
勰        xie       15       
勱        mai       14       
勲        xun       15       
勳        xun       16       
勴        lv        17       
勵        li        16       
勶        che       17       
勷        xiang     19       
勸        quan      19       
勹        bao       2        
勺        shao      3        
勻        yun       4        
勼        jiu       4        
勽        bao       4        
勾        gou       4        
勿        wu        4        
匀        yun       4        
匁        mangmi    4        
匂        bi        4        
匃        gai       5        
匄        gai       5        
包        bao       5        
匆        cong      5        
匇        yi        5        
匈        xiong     6        
匉        peng      7        
匊        ju        8        
匋        yao       8        
匌        ge        8        
匍        pu        9        
匎        e         10       
匏        pao       11       
匐        fu        11       
匑        gong      12       
匒        da        11       
匓        jiu       11       
匔        gong      15       
匕        bi        2        
化        hua       4        
北        bei       5        
匘        nao       11       
匙        shi       11       
匚        qu        2        
匛        jiu       5        
匜        yi        5        
匝        za        5        
匞        jiang     5        
匟        kang      6        
匠        jiang     6        
匡        kuang     6        
匢        hu        6        
匣        xia       7        
匤        qu        7        
匥        fan       7        
匦        gui       8        
匧        qie       9        
匨        zang      9        
匩        kuang     9        
匪        fei       10       
匫        hu        10       
匬        yu        11       
匭        gui       11       
匮        kui       11       
匯        hui       13       
匰        dan       14       
匱        kui       14       
匲        lian      14       
匳        lian      15       
匴        suan      16       
匵        du        17       
匶        jiu       19       
匷        qu        20       
匸        xi        2        
匹        pi        4        
区        qu        4        
医        yi        7        
匼        ke        8        
匽        yan       9        
匾        bian      11       
匿        ni        10       
區        qu        11       
十        shi       2        
卂        xun       3        
千        qian      3        
卄        nian      3        
卅        sa        4        
卆        zu        4        
升        sheng     4        
午        wu        4        
卉        hui       5        
半        ban       5        
卋        shi       6        
卌        xi        5        
卍        wan       4        
华        hua       6        
协        xie       6        
卐        wan       4        
卑        bei       8        
卒        zu        8        
卓        zhuo      8        
協        xie       8        
单        dan       8        
卖        mai       8        
南        nan       9        
単        shan      9        
卙        ji        11       
博        bo        12       
卛        shuai     21       
卜        bo        2        
卝        kuang     4        
卞        bian      4        
卟        bu        5        
占        zhan      5        
卡        ka        5        
卢        lu        5        
卣        you       7        
卤        lu        7        
卥        xi        8        
卦        gua       8        
卧        wo        8        
卨        xie       10       
卩        dan       2        
卪        ran       3        
卫        wei       3        
卬        yang      4        
卭        qiong     5        
卮        zhi       5        
卯        mao       5        
印        yin       5        
危        wei       6        
卲        shao      7        
即        ji        7        
却        que       7        
卵        luan      7        
卶        chi       8        
卷        juan      8        
卸        xie       9        
卹        xu        8        
卺        jin       8        
卻        xi        9        
卼        kui       9        
卽        ji        9        
卾        e         11       
卿        qing      10       
厀        xi        13       
厁        san       13       
厂        chang     2        
厃        yan       4        
厄        e         4        
厅        ting      4        
历        li        4        
厇        zhe       5        
厈        han       5        
厉        li        5        
厊        ya        6        
压        ya        6        
厌        yan       6        
厍        she       6        
厎        di        7        
厏        zhai      7        
厐        pang      7        
厑        aes       7        
厒        qie       8        
厓        ya        8        
厔        zhi       8        
厕        ce        8        
厖        mang      9        
厗        ti        9        
厘        li        9        
厙        she       9        
厚        hou       9        
厛        ting      9        
厜        zui       10       
厝        cuo       10       
厞        fei       10       
原        yuan      10       
厠        ze        11       
厡        yuan      11       
厢        xiang     11       
厣        yan       11       
厤        li        12       
厥        jue       12       
厦        sha       12       
厧        dian      12       
厨        chu       12       
厩        jiu       11       
